№ п.п.,Адрес,Год постройки,Материал крыши,Материал стен,Износ  дома в процентах,Число этажей,Количество подъездов,Количество лифтов,Количество систем ДУ и ППА,Количество мусоропроводов,Количество газовых плит,Количество электроплит,Количество квартир,Площадь жилая,Площадь нежилая,Площадь лестничных клеток,Площадь крыши,Площадь подвалов ,Площадь чердака
91,"Байкальская ул., д.35",1968.0,Мягкая,панельный,26.0,9.0,7.0,7.0,0.0,7.0,251.0,0.0,251.0,12879.5,0.0,1610.0,2123.0,1909.4,1909.4
92,"Байкальская ул., д.36",1965.0,Мягкая,панельный,24.0,5.0,6.0,0.0,0.0,0.0,119.0,0.0,119.0,5111.8,32.2,569.0,1454.0,1321.0,1321.0
93,"Байкальская ул., д.37",1969.0,Мягкая,блочный,6.0,12.0,1.0,2.0,1.0,1.0,80.0,0.0,80.0,3487.7,1869.1,531.0,468.0,421.5,421.5
94,"Байкальская ул., д.38, к.1",1965.0,Мягкая,панельный,31.0,5.0,6.0,0.0,0.0,0.0,120.0,0.0,120.0,5136.7,0.0,554.0,1463.0,1330.5,1330.5
95,"Байкальская ул., д.38, к.2",1966.0,Мягкая,панельный,24.0,9.0,5.0,5.0,0.0,5.0,175.0,0.0,175.0,8679.9,172.6,1078.0,1517.0,1314.0,0.0
96,"Байкальская ул., д.38, к.4",1968.0,Мягкая,блочный,27.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3611.5,0.0,488.0,470.0,424.0,424.0
97,"Байкальская ул., д.39",1969.0,Мягкая,блочный,26.0,12.0,1.0,2.0,1.0,1.0,81.0,0.0,81.0,3525.4,864.2,535.0,468.0,1195.0,1195.0
98,"Байкальская ул., д.40/17",1965.0,Мягкая,кирпич,25.0,9.0,10.0,10.0,0.0,10.0,298.0,0.0,301.0,13466.6,2683.4,1964.0,2842.0,2522.8,2522.8
99,"Байкальская ул., д.41, к.1",1966.0,Мягкая,панельный,31.0,5.0,7.0,0.0,0.0,0.0,139.0,0.0,139.0,6030.3,0.0,666.0,1713.0,1557.0,1557.0
100,"Байкальская ул., д.41, к.2",1966.0,Мягкая,панельный,31.0,5.0,7.0,0.0,0.0,0.0,138.0,0.0,138.0,5980.14,63.5,646.0,1721.0,1565.0,1565.0
101,"Байкальская ул., д.41, к.3",1966.0,Мягкая,панельный,30.0,5.0,7.0,0.0,0.0,0.0,135.0,0.0,135.0,5939.1,163.2,658.0,1722.0,1565.0,1565.0
102,"Байкальская ул., д.41, к.4",1966.0,Мягкая,панельный,24.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3529.5,0.0,360.0,997.0,906.0,906.0
103,"Байкальская ул., д.43",1968.0,Мягкая,кирпич,20.0,9.0,6.0,6.0,0.0,6.0,215.0,0.0,216.0,9522.3,6.3,1279.0,1652.0,1495.0,1495.0
104,"Байкальская ул., д.44, к.1",1968.0,Мягкая,панельный,28.0,9.0,8.0,8.0,0.0,8.0,286.0,0.0,286.0,14073.3,58.3,1584.0,2278.0,2076.6,2076.6
105,"Байкальская ул., д.44, к.2",1967.0,Мягкая,панельный,31.0,5.0,7.0,0.0,0.0,0.0,139.0,0.0,139.0,6098.1,0.0,724.0,1725.0,1568.5,1568.5
106,"Байкальская ул., д.44, к.3",1967.0,Мягкая,панельный,32.0,5.0,7.0,0.0,0.0,0.0,139.0,0.0,139.0,6111.2,0.0,700.0,1717.0,1561.0,1561.0
107,"Байкальская ул., д.44, к.4",1967.0,Мягкая,блочный,31.0,12.0,1.0,2.0,1.0,1.0,80.0,0.0,80.0,3439.6,198.8,495.0,468.0,462.4,462.4
108,"Байкальская ул., д.45",1969.0,Мягкая,блочный,21.0,12.0,1.0,2.0,1.0,1.0,77.0,0.0,77.0,3352.7,1995.0,522.0,1509.0,420.0,420.0
109,"Байкальская ул., д.46, к.1",1970.0,Мягкая,блочный,28.0,14.0,1.0,2.0,1.0,1.0,97.0,0.0,97.0,4206.2,800.0,674.0,1405.0,1238.9,1238.9
110,"Байкальская ул., д.47",1968.0,Мягкая,блочный,28.0,12.0,1.0,2.0,1.0,1.0,80.0,0.0,80.0,3454.7,938.3,523.0,1460.0,424.0,442.0
111,"Байкальская ул., д.48, к.1",1972.0,Мягкая,панельный,22.0,9.0,10.0,10.0,0.0,10.0,357.0,0.0,358.0,17730.3,0.0,1995.0,2851.0,2587.0,2587.0
112,"Байкальская ул., д.48, к.2",1973.0,Мягкая,панельный,28.0,9.0,6.0,6.0,0.0,6.0,215.0,0.0,215.0,10659.5,138.5,1183.0,1772.0,1629.0,1673.0
113,"Байкальская ул., д.51, к.1",1969.0,Мягкая,кирпич,28.0,9.0,6.0,6.0,0.0,6.0,214.0,0.0,215.0,9542.5,64.1,1262.0,1685.0,1542.0,1587.0
114,"Байкальская ул., д.51, к.2",1968.0,Мягкая,панельный,31.0,5.0,3.0,0.0,0.0,0.0,60.0,0.0,60.0,2573.3,0.0,277.0,733.0,662.0,662.0
115,"Байкальская ул., д.51, к.3",1968.0,Мягкая,панельный,32.0,5.0,3.0,0.0,0.0,0.0,60.0,0.0,60.0,2591.5,0.0,273.0,733.0,653.0,653.0
116,"Байкальская ул., д.51, к.4",1968.0,Мягкая,панельный,33.0,5.0,3.0,0.0,0.0,0.0,60.0,0.0,60.0,2589.4,0.0,282.0,729.0,663.0,650.0
117,"Белы Куна площадь, д.1",2022.0,Мягкая,монолит.,0.0,24.0,1.0,4.0,1.0,2.0,0.0,0.0,294.0,1673.1,2433.4,3879.7,1350.7,902.7,1095.0
118,"Бирюсинка ул., д.10",2011.0,Штучные материалы,панельный,0.7,14.0,2.0,4.0,2.0,2.0,0.0,107.0,107.0,6035.2,82.6,971.8,779.0,615.0,559.1
119,"Бирюсинка ул., д.11/38",1965.0,Мягкая,кирпич,34.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3364.7,0.0,349.0,1008.0,917.0,917.0
120,"Бирюсинка ул., д.13, к.1",1964.0,Мягкая,кирпич,33.0,5.0,3.0,0.0,0.0,0.0,60.0,0.0,60.0,2478.7,0.0,265.0,746.0,678.0,678.0
121,"Бирюсинка ул., д.13, к.2",1964.0,Мягкая,кирпич,29.0,5.0,3.0,0.0,0.0,0.0,59.0,0.0,60.0,2428.3,0.0,252.0,745.0,677.0,677.0
122,"Бирюсинка ул., д.15, к.1",1964.0,Мягкая,кирпич,35.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3416.4,0.0,397.0,1013.0,921.0,921.0
123,"Бирюсинка ул., д.15, к.2",1964.0,Мягкая,кирпич,35.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3432.8,0.0,382.0,1008.0,917.0,917.0
124,"Иркутская ул., д.12/14",1969.0,Мягкая,блочный,26.0,12.0,1.0,2.0,1.0,1.0,80.0,0.0,80.0,3435.7,1158.2,512.0,463.0,421.0,421.0
125,"Иркутская ул., д.16",1974.0,Мягкая,кирпич,28.0,9.0,3.0,3.0,0.0,3.0,108.0,0.0,108.0,4516.7,56.5,581.0,725.0,719.0,719.0
126,"Камчатская ул., д.2",1971.0,Мягкая,кирпич,25.0,9.0,5.0,5.0,0.0,30.0,179.0,0.0,179.0,7779.9,13.1,983.0,1350.0,1227.0,1227.0
127,"Камчатская ул., д.3",1985.0,Мягкая,панельный,16.0,16.0,4.0,8.0,4.0,4.0,0.0,247.0,247.0,12661.3,206.2,3130.0,1504.0,1271.0,1271.0
128,"Камчатская ул., д.4",1972.0,Мягкая,кирпич,16.0,9.0,5.0,5.0,0.0,30.0,180.0,0.0,180.0,7818.1,0.0,1011.0,1347.0,1224.0,1224.0
129,"Камчатская ул., д.5",1984.0,Мягкая,панельный,16.0,16.0,4.0,8.0,4.0,4.0,0.0,251.0,251.0,12803.3,11.4,3130.0,1504.0,1271.0,1271.0
130,"Камчатская ул., д.6, к.1",1971.0,Мягкая,блочный,26.0,14.0,1.0,2.0,1.0,18.0,95.0,0.0,95.0,3988.91,1257.8,498.0,1213.0,207.0,207.0
131,"Камчатская ул., д.6, к.2",1972.0,Мягкая,панельный,25.0,9.0,4.0,4.0,0.0,24.0,140.0,0.0,141.0,6131.5,0.0,872.0,1044.0,915.0,915.0
132,"Камчатская ул., д.7",1989.0,Мягкая,панельный,12.0,14.0,4.0,8.0,4.0,4.0,0.0,182.0,182.0,11764.2,754.7,1816.0,1501.0,1294.0,1294.0
133,"Камчатская ул., д.8, к.1",1973.0,Мягкая,панельный,14.0,9.0,4.0,4.0,0.0,4.0,142.0,0.0,142.0,6172.7,0.0,803.0,1013.0,921.0,921.0
134,"Камчатская ул., д.19",1990.0,Мягкая,панельный,14.0,14.0,2.0,4.0,2.0,2.0,0.0,110.0,110.0,4977.2,0.0,875.0,622.0,497.0,497.0
135,"Красноярская ул., д.3, к.1",1979.0,Мягкая,панельный,23.0,9.0,4.0,4.0,0.0,4.0,0.0,144.0,144.0,7197.63,0.0,778.0,1161.0,1054.0,1054.0
136,"Красноярская ул., д.9",1974.0,Мягкая,панельный,24.0,9.0,14.0,14.0,0.0,14.0,494.0,0.0,494.0,24985.4,104.6,2796.0,4491.0,3200.0,3200.0
137,"Красноярская ул., д.11",1979.0,Мягкая,панельный,24.0,16.0,1.0,2.0,2.0,1.0,0.0,126.0,126.0,5839.3,343.4,1423.0,609.0,484.0,484.0
138,"Красноярская ул., д.13",1974.0,Мягкая,панельный,23.0,9.0,14.0,14.0,0.0,14.0,494.0,0.0,495.0,25144.27,94.8,2880.0,4453.0,3285.0,3285.0
139,"Красноярская ул., д.15",1980.0,Мягкая,панельный,21.0,16.0,1.0,2.0,2.0,1.0,0.0,123.0,123.0,5710.4,1704.9,1479.0,482.0,484.0,482.0
140,"Красноярская ул., д.17",1974.0,Мягкая,панельный,22.0,9.0,14.0,14.0,0.0,14.0,494.0,0.0,494.0,25151.2,90.0,3022.0,4401.0,3958.9,3958.9
141,"Курганская ул., д.12",1990.0,Мягкая,панельный,13.0,14.0,2.0,4.0,2.0,2.0,0.0,110.0,110.0,4996.3,0.0,889.0,622.0,499.0,499.0
142,"Новосибирская ул., д.1, к.1",1968.0,Мягкая,панельный,20.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0,100.0,4421.7,0.0,457.0,1259.0,1144.2,1144.2
143,"Новосибирская ул., д.1, к.2",1969.0,Мягкая,панельный,20.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0,100.0,4462.1,0.0,450.0,1259.0,1140.8,1140.8
144,"Новосибирская ул., д.3",1969.0,Мягкая,блочный,34.0,12.0,1.0,2.0,1.0,1.0,81.0,0.0,81.0,3521.9,1605.8,515.0,1498.0,980.0,980.0
145,"Новосибирская ул., д.4",1976.0,Мягкая,панельный,21.0,9.0,6.0,6.0,0.0,6.0,210.0,0.0,210.0,10359.7,1341.9,1248.0,819.0,1564.0,0.0
146,"Новосибирская ул., д.5, к.1",1978.0,Мягкая,блочный,23.0,16.0,1.0,2.0,1.0,1.0,0.0,111.0,111.0,5306.0,0.0,918.0,585.0,486.9,486.9
147,"Новосибирская ул., д.5, к.2",1981.0,Мягкая,блочный,15.0,16.0,1.0,2.0,1.0,1.0,0.0,108.0,108.0,5145.5,158.7,965.0,635.0,484.0,484.0
148,"Новосибирская ул., д.6, к.1",1976.0,Мягкая,панельный,22.0,9.0,8.0,8.0,0.0,8.0,288.0,0.0,288.0,14385.2,0.0,1572.0,2307.0,2097.0,2176.0
149,"Новосибирская ул., д.6, к.2",1976.0,Мягкая,панельный,16.0,9.0,8.0,8.0,0.0,8.0,285.0,0.0,286.0,14021.96,102.0,1539.0,2303.0,1046.5,0.0
150,"Новосибирская ул., д.7",1968.0,Мягкая,блочный,29.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3678.5,0.0,518.0,461.0,419.3,420.0
151,"Новосибирская ул., д.8",1976.0,Мягкая,панельный,26.0,9.0,8.0,8.0,0.0,8.0,287.0,0.0,288.0,14193.47,0.0,1579.0,2381.0,2100.0,2250.0
152,"Новосибирская ул., д.9, к.1",1967.0,Мягкая,панельный,33.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0,100.0,3238.1,0.0,452.0,1257.0,1142.9,1142.9
153,"Новосибирская ул., д.9, к.2",1967.0,Мягкая,панельный,30.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0,100.0,4425.0,0.0,450.0,1255.0,1140.7,1140.7
154,"Новосибирская ул., д.11",1969.0,Мягкая,панельный,29.0,9.0,8.0,8.0,0.0,5.0,286.0,0.0,287.0,14164.2,591.8,1556.0,2272.0,2050.9,2050.9
155,"Сахалинская ул., д.4",1969.0,Мягкая,панельный,20.0,9.0,8.0,8.0,0.0,8.0,287.0,0.0,287.0,14037.9,0.0,1428.0,2287.0,2057.0,2057.0
156,"Сахалинская ул., д.5, к.2",1971.0,Мягкая,панельный,27.0,9.0,6.0,6.0,0.0,36.0,215.0,0.0,215.0,10468.75,63.7,1171.0,1706.0,1550.0,1550.0
157,"Сахалинская ул., д.6, к.1",1969.0,Мягкая,панельный,17.0,9.0,8.0,8.0,0.0,8.0,286.0,0.0,287.0,13663.2,0.0,1685.0,2274.0,2057.0,2057.0
158,"Сахалинская ул., д.7, к.1",1970.0,Мягкая,панельный,27.0,9.0,6.0,6.0,0.0,36.0,213.0,0.0,214.0,10659.1,45.6,1010.0,1893.0,1627.0,1627.0
159,"Сахалинская ул., д.7, к.2",1971.0,Мягкая,панельный,26.0,9.0,6.0,6.0,0.0,36.0,216.0,0.0,216.0,10590.0,0.0,1195.0,1706.0,1550.0,1550.0
160,"Сахалинская ул., д.10/17",1989.0,Мягкая,панельный,18.0,14.0,2.0,4.0,2.0,2.0,0.0,110.0,110.0,4980.8,22.2,965.0,624.0,496.0,496.0
161,"Сахалинская ул., д.11",1970.0,Мягкая,панельный,27.0,9.0,6.0,6.0,0.0,36.0,215.0,0.0,215.0,10740.8,0.0,1223.0,1924.0,1629.0,1629.0
162,"Сахалинская ул., д.13/6, к.1",1972.0,Мягкая,панельный,22.0,9.0,4.0,4.0,0.0,24.0,142.0,0.0,142.0,6093.3,0.0,880.0,1121.0,913.0,913.0
163,"Уральская ул., д.1, к.1",2010.0,Мягкая,панельный,1.4,17.0,3.0,6.0,3.0,3.0,0.0,197.0,197.0,11103.0,5065.8,1795.5,1668.0,935.7,935.7
164,"Уральская ул., д.4",1968.0,Мягкая,панельный,27.0,9.0,10.0,10.0,0.0,10.0,354.0,0.0,355.0,17311.2,1719.8,1938.0,2876.0,2574.0,2574.0
165,"Уральская ул., д.5",1966.0,Мягкая,блочный,25.0,12.0,2.0,4.0,2.0,2.0,179.0,0.0,180.0,6778.0,1311.6,574.0,1963.0,418.0,418.0
166,"Уральская ул., д.6, к.5",1964.0,Мягкая,панельный,20.0,5.0,6.0,0.0,0.0,0.0,119.0,0.0,120.0,5154.5,0.0,571.0,1454.0,1350.0,1350.0
167,"Уральская ул., д.7",1967.0,Мягкая,блочный,23.0,12.0,2.0,4.0,2.0,2.0,181.0,0.0,181.0,6808.0,2994.7,986.0,2685.0,838.0,838.0
168,"Уральская ул., д.11",1969.0,Мягкая,блочный,26.0,12.0,2.0,4.0,2.0,2.0,173.0,0.0,173.0,6986.9,1083.5,1081.0,1916.0,839.0,839.0
169,"Уральская ул., д.12/21",1968.0,Мягкая,панельный,29.0,9.0,6.0,6.0,0.0,6.0,206.0,0.0,210.0,10098.9,954.9,1045.0,2331.0,1578.0,1578.0
170,"Уральская ул., д.13",1969.0,Мягкая,блочный,27.0,12.0,2.0,4.0,2.0,2.0,172.0,0.0,172.0,6868.5,902.3,955.9,1696.0,843.0,843.0
171,"Уральская ул., д.15",1967.0,Мягкая,кирпич,34.0,9.0,8.0,8.0,0.0,8.0,282.0,0.0,282.0,12248.6,261.0,1346.0,2148.0,1953.0,1953.0
172,"Уральская ул., д.17",1969.0,Мягкая,блочный,28.0,12.0,2.0,4.0,2.0,2.0,173.0,0.0,173.0,6899.8,1993.2,1028.0,2169.0,845.0,845.0
173,"Уральская ул., д.19, к.1",1969.0,Мягкая,блочный,28.0,12.0,2.0,4.0,2.0,2.0,173.0,0.0,173.0,6962.3,1910.4,991.0,1969.0,842.0,842.0
174,"Уральская ул., д.19, к.2",1968.0,Мягкая,блочный,29.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3642.4,0.0,496.0,463.0,421.0,421.0
175,"Уральская ул., д.19, к.3",1968.0,Мягкая,блочный,25.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3638.2,0.0,502.0,475.0,422.0,422.0
176,"Уральская ул., д.19, к.4",1968.0,Мягкая,блочный,28.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3670.3,0.0,490.0,469.0,425.0,425.0
177,"Уссурийская ул., д.1, к.1",1976.0,Мягкая,блочный,30.0,16.0,1.0,2.0,1.0,18.0,0.0,105.0,105.0,4944.8,3458.4,948.0,598.0,487.0,487.0
178,"Уссурийская ул., д.1, к.2",1970.0,Мягкая,панельный,31.0,9.0,8.0,8.0,0.0,48.0,287.0,0.0,287.0,14060.4,0.0,1764.0,2412.0,2049.0,2049.0
179,"Уссурийская ул., д.1, к.3",1973.0,Мягкая,панельный,39.0,9.0,4.0,4.0,0.0,24.0,144.0,0.0,144.0,7155.2,0.0,727.0,1195.0,1086.0,1086.0
180,"Уссурийская ул., д.1, к.4",1974.0,Мягкая,панельный,24.0,9.0,4.0,4.0,0.0,4.0,144.0,0.0,144.0,7142.1,0.0,810.0,1131.0,1027.0,1027.0
181,"Уссурийская ул., д.1, к.5",1975.0,Мягкая,блочный,26.0,16.0,1.0,2.0,1.0,1.0,0.0,105.0,105.0,4989.9,2111.2,860.0,533.0,485.0,485.0
182,"Уссурийская ул., д.3, к.1",1978.0,Мягкая,панельный,7.0,9.0,8.0,8.0,0.0,48.0,0.0,286.0,286.0,14336.5,0.0,1536.0,2614.0,2107.0,2107.0
183,"Уссурийская ул., д.4",1978.0,Мягкая,блочный,15.0,16.0,1.0,2.0,1.0,1.0,0.0,111.0,111.0,5215.6,0.0,817.0,554.0,486.6,486.6
184,"Уссурийская ул., д.5",1973.0,Мягкая,блочный,25.0,14.0,1.0,2.0,1.0,16.0,98.0,0.0,98.0,4257.3,370.5,553.0,985.0,424.0,424.0
185,"Уссурийская ул., д.5, к.1",1970.0,Мягкая,панельный,22.0,9.0,12.0,12.0,0.0,72.0,430.0,0.0,431.0,21208.2,49.5,2507.0,3626.0,3258.0,3258.0
